
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr xmu.edu.cn @dns1.xmu.edu.cn.
;; global options: +cmd
xmu.edu.cn.		86400	IN	SOA	xmu.edu.cn. ftpadm.xmu.edu.cn. 2015020910 10800 3600 4320000 86400
xmu.edu.cn.		86400	IN	TXT	"v=spf1 a mx ~all"
xmu.edu.cn.		86400	IN	NS	dns1.xmu.edu.cn.
xmu.edu.cn.		86400	IN	A	210.34.0.4
xmu.edu.cn.		86400	IN	A	210.34.0.2
xmu.edu.cn.		86400	IN	MX	0 mail.xmu.edu.cn.
123.xmu.edu.cn.		86400	IN	CNAME	mnews.xmu.edu.cn.
18d.xmu.edu.cn.		86400	IN	A	121.192.190.117
2011csr.xmu.edu.cn.	86400	IN	A	121.192.179.86
2wmxd.xmu.edu.cn.	86400	IN	CNAME	vhost-l1.xmu.edu.cn.
60.xmu.edu.cn.		86400	IN	A	210.34.0.170
7778.xmu.edu.cn.	86400	IN	A	210.34.0.192
7807.xmu.edu.cn.	86400	IN	CNAME	vhost.xmu.edu.cn.
85.xmu.edu.cn.		86400	IN	CNAME	vhost.xmu.edu.cn.
8848.xmu.edu.cn.	86400	IN	A	210.34.10.98
90.xmu.edu.cn.		86400	IN	CNAME	webplus.xmu.edu.cn.
90tickets.xmu.edu.cn.	86400	IN	A	210.34.0.242
973oceancarbon.xmu.edu.cn. 86400 IN	CNAME	mel.xmu.edu.cn.
aa.xmu.edu.cn.		86400	IN	A	210.34.0.207
aalc.xmu.edu.cn.	86400	IN	A	218.193.48.200
ab.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
ac.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
acccen.xmu.edu.cn.	86400	IN	A	121.192.176.19
account.xmu.edu.cn.	86400	IN	A	210.34.0.66
acm.xmu.edu.cn.		86400	IN	A	121.192.180.203
ad.xmu.edu.cn.		86400	IN	A	210.34.18.60
admissions.xmu.edu.cn.	86400	IN	A	210.34.0.217
www.admissions.xmu.edu.cn. 86400 IN	CNAME	oec.admissions.xmu.edu.cn.
ae.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
aeel.xmu.edu.cn.	86400	IN	A	210.34.6.194
aero.xmu.edu.cn.	86400	IN	CNAME	vhost.xmu.edu.cn.
af.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
ag.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
ah.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
ai.xmu.edu.cn.		86400	IN	A	59.77.17.61
ais.xmu.edu.cn.		86400	IN	A	210.34.0.109
aixiada.xmu.edu.cn.	86400	IN	CNAME	ixiada.xmu.edu.cn.
aj.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
ak.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
al.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
algebra.xmu.edu.cn.	86400	IN	A	59.77.1.115
algorithm.xmu.edu.cn.	86400	IN	A	121.192.180.208
alumni.xmu.edu.cn.	86400	IN	A	121.192.190.102
alumni1.xmu.edu.cn.	86400	IN	CNAME	vhost.xmu.edu.cn.
am.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
ame.xmu.edu.cn.		86400	IN	A	210.34.10.156
amoi.xmu.edu.cn.	86400	IN	CNAME	vhost.xmu.edu.cn.
amoylegis.xmu.edu.cn.	86400	IN	A	121.192.179.166
an.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
anet.xmu.edu.cn.	86400	IN	A	210.34.4.122
anniversary.xmu.edu.cn.	86400	IN	CNAME	webplus.xmu.edu.cn.
anthcamp.xmu.edu.cn.	86400	IN	CNAME	webplus.xmu.edu.cn.
anthro.xmu.edu.cn.	86400	IN	CNAME	vhost.xmu.edu.cn.
ao.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
aoserver.xmu.edu.cn.	86400	IN	A	210.34.0.210
ap.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
api.xmu.edu.cn.		86400	IN	A	210.34.0.46
apm2011.xmu.edu.cn.	86400	IN	CNAME	vhost.xmu.edu.cn.
apwc2015.xmu.edu.cn.	86400	IN	CNAME	vhost-l1.xmu.edu.cn.
www.apwc2015.xmu.edu.cn. 86400	IN	CNAME	vhost-l1.xmu.edu.cn.
aq.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
ar.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
archt.xmu.edu.cn.	86400	IN	A	210.34.0.174
archtdesign.xmu.edu.cn.	86400	IN	A	210.34.10.129
arn.xmu.edu.cn.		86400	IN	A	210.34.4.122
arp.xmu.edu.cn.		86400	IN	CNAME	DNS.xmu.edu.cn.
arps.xmu.edu.cn.	86400	IN	CNAME	arp.xmu.edu.cn.
art.xmu.edu.cn.		86400	IN	A	121.192.179.53
as.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
as400.xmu.edu.cn.	86400	IN	A	218.193.0.18
asir.xmu.edu.cn.	86400	IN	CNAME	vhost-l1.xmu.edu.cn.
astl.xmu.edu.cn.	86400	IN	CNAME	vhost-l1.xmu.edu.cn.
astro.xmu.edu.cn.	86400	IN	A	121.192.177.197
at.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
atc.xmu.edu.cn.		86400	IN	CNAME	webplus.xmu.edu.cn.
atr.xmu.edu.cn.		86400	IN	CNAME	ictlab.xmu.edu.cn.
au.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
auto.xmu.edu.cn.	86400	IN	CNAME	webnt.xmu.edu.cn.
av.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
aw.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
ax.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
axis.xmu.edu.cn.	86400	IN	A	210.34.0.222
axis01.xmu.edu.cn.	86400	IN	CNAME	axis.xmu.edu.cn.
axis02.xmu.edu.cn.	86400	IN	A	210.34.0.44
axis03.xmu.edu.cn.	86400	IN	A	210.34.0.43
ay.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
az.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
ba.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
baiyue.xmu.edu.cn.	86400	IN	CNAME	webplus.xmu.edu.cn.
bank.xmu.edu.cn.	86400	IN	CNAME	vhost.xmu.edu.cn.
baobiao.xmu.edu.cn.	86400	IN	CNAME	iredirect11.xmu.edu.cn.
baowei.xmu.edu.cn.	86400	IN	CNAME	webplus.xmu.edu.cn.
bb.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
bbclient.xmu.edu.cn.	86400	IN	CNAME	haishiontestphp.xmu.edu.cn.
bbs.xmu.edu.cn.		86400	IN	A	210.34.0.13
bbs.xmu.edu.cn.		86400	IN	MX	0 bbs.xmu.edu.cn.
bbsdev.xmu.edu.cn.	86400	IN	A	210.34.0.130
bc.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
bccl.xmu.edu.cn.	86400	IN	CNAME	webplus.xmu.edu.cn.
bd.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
be.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
beauty.xmu.edu.cn.	86400	IN	A	202.101.104.19
beta.xmu.edu.cn.	86400	IN	A	210.34.0.174
bf.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
bg.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
bgm.xmu.edu.cn.		86400	IN	CNAME	coe.xmu.edu.cn.
bh.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
bi.xmu.edu.cn.		86400	IN	CNAME	length.xmu.edu.cn.
bigdata.xmu.edu.cn.	86400	IN	A	121.192.190.125
bike.xmu.edu.cn.	86400	IN	CNAME	iredirect5.xmu.edu.cn.
bincon.xmu.edu.cn.	86400	IN	A	210.34.5.69
